ISIN,Ticker,InstrumentName,InstrumentType,Currency,Exchange,Price,Vendor
USRYBZH2I7Z5,AAPL,Apple Inc.,Technology,USD,NMS,254.49,VendorA
USYNBSXY167A,NVDA,NVIDIA Corporation,Technology,USD,NMS,134.7,VendorA
US96LMQW36KB,MSFT,Microsoft Corporation,Technology,USD,NMS,436.6,VendorA
USLEHAHE82Y9,AMZN,"Amazon.com, Inc.",Consumer Cyclical,USD,NMS,224.92,VendorA
USZSDDYB7LKL,GOOGL,Alphabet Inc.,Communication Services,USD,NMS,191.41,VendorA
US5AKMG3QK2D,GOOG,Alphabet Inc.,Communication Services,USD,NMS,192.96,VendorA
US2I4EH9RWYK,META,"Meta Platforms, Inc.",Communication Services,USD,NMS,585.25,VendorA
USPHBD2E8D88,TSLA,"Tesla, Inc.",Consumer Cyclical,USD,NMS,421.06,VendorA
USLZAY2A0IGF,AVGO,Broadcom Inc.,Technology,USD,NMS,220.79,VendorA
USWHSOL6A3VW,BRK-B,Berkshire Hathaway Inc.,Financial Services,USD,NYQ,453.2,VendorA
USC7RX5GXI9M,WMT,Walmart Inc.,Consumer Defensive,USD,NYQ,92.24,VendorA
USW8PCPESNFI,LLY,Eli Lilly and Company,Healthcare,USD,NYQ,767.76,VendorA
USL9OBR4O8UE,JPM,JPMorgan Chase & Co.,Financial Services,USD,NYQ,237.6,VendorA
USD3XV3J0ALT,V,Visa Inc.,Financial Services,USD,NYQ,317.71,VendorA
US6EOWIVDPQN,MA,Mastercard Incorporated,Financial Services,USD,NYQ,528.03,VendorA
USAS3HWADOGL,ORCL,Oracle Corporation,Technology,USD,NYQ,169.66,VendorA
USVDN1N799VU,XOM,Exxon Mobil Corporation,Energy,USD,NYQ,105.87,VendorA
USM8YVF2B23C,UNH,UnitedHealth Group Incorporated,Healthcare,USD,NYQ,500.13,VendorA
US0SNCVTULEN,COST,Costco Wholesale Corporation,Consumer Defensive,USD,NMS,954.07,VendorA
USBXODMQE335,PG,The Procter & Gamble Company,Consumer Defensive,USD,NYQ,168.06,VendorA
UST9ARLYFTJ7,HD,"The Home Depot, Inc.",Consumer Cyclical,USD,NYQ,392.6,VendorA
USVYX1OGK3FJ,NFLX,"Netflix, Inc.",Communication Services,USD,NMS,909.05,VendorA
US4CHP2N1H99,JNJ,Johnson & Johnson,Healthcare,USD,NYQ,144.47,VendorA
USOAX5G6LOJJ,BAC,Bank of America Corporation,Financial Services,USD,NYQ,44.17,VendorA
USU3TH5AMSGG,CRM,"Salesforce, Inc.",Technology,USD,NYQ,343.65,VendorA
USN1Z1TGKLH8,ABBV,AbbVie Inc.,Healthcare,USD,NYQ,175.58,VendorA
