ISIN,Ticker,InstrumentName,InstrumentType,Currency,Exchange,Price,Vendor
USRYBZH2I7Z5,AAPL,Apple Inc.,Technology,USD,NMS,257.0349,VendorB
USYNBSXY167A,NVDA,NVIDIA Corporation,Technology,USD,NMS,136.047,VendorB
US96LMQW36KB,MSFT,Microsoft Corporation,Technology,USD,NMS,440.966,VendorB
USLEHAHE82Y9,AMZN,"Amazon.com, Inc.",Consumer Cyclical,USD,NMS,227.1692,VendorB
USZSDDYB7LKL,GOOGL,Alphabet Inc.,Communication Services,USD,NMS,193.3241,VendorB
US5AKMG3QK2D,GOOG,Alphabet Inc.,Communication Services,USD,NMS,194.8896,VendorB
US2I4EH9RWYK,META,"Meta Platforms, Inc.",Communication Services,USD,NMS,591.1025,VendorB
USPHBD2E8D88,TSLA,"Tesla, Inc.",Consumer Cyclical,USD,NMS,425.2706,VendorB
USLZAY2A0IGF,AVGO,Broadcom Inc.,Technology,USD,NMS,222.9979,VendorB
USWHSOL6A3VW,BRK-B,Berkshire Hathaway Inc.,Financial Services,USD,NYQ,457.73199999999997,VendorB
USC7RX5GXI9M,WMT,Walmart Inc.,Consumer Defensive,USD,NYQ,93.16239999999999,VendorB
USW8PCPESNFI,LLY,Eli Lilly and Company,Healthcare,USD,NYQ,775.4376,VendorB
USL9OBR4O8UE,JPM,JPMorgan Chase & Co.,Financial Services,USD,NYQ,239.976,VendorB
USD3XV3J0ALT,V,Visa Inc.,Financial Services,USD,NYQ,320.8871,VendorB
US6EOWIVDPQN,MA,Mastercard Incorporated,Financial Services,USD,NYQ,533.3103,VendorB
USAS3HWADOGL,ORCL,Oracle Corporation,Technology,USD,NYQ,171.3566,VendorB
USVDN1N799VU,XOM,Exxon Mobil Corporation,Energy,USD,NYQ,106.9287,VendorB
USM8YVF2B23C,UNH,UnitedHealth Group Incorporated,Healthcare,USD,NYQ,505.1313,VendorB
US0SNCVTULEN,COST,Costco Wholesale Corporation,Consumer Defensive,USD,NMS,963.6107000000001,VendorB
USBXODMQE335,PG,The Procter & Gamble Company,Consumer Defensive,USD,NYQ,169.7406,VendorB
UST9ARLYFTJ7,HD,"The Home Depot, Inc.",Consumer Cyclical,USD,NYQ,396.526,VendorB
USVYX1OGK3FJ,NFLX,"Netflix, Inc.",Communication Services,USD,NMS,918.1405,VendorB
US4CHP2N1H99,JNJ,Johnson & Johnson,Healthcare,USD,NYQ,145.9147,VendorB
USOAX5G6LOJJ,BAC,Bank of America Corporation,Financial Services,USD,NYQ,44.6117,VendorB
USU3TH5AMSGG,CRM,"Salesforce, Inc.",Technology,USD,NYQ,347.0865,VendorB
USN1Z1TGKLH8,ABBV,AbbVie Inc.,Healthcare,USD,NYQ,177.3358,VendorB
USNCB5RC1EAX,KO,The Coca-Cola Company,Consumer Defensive,USD,NYQ,63.1755,VendorB
USKXCIXID2AG,TMUS,"T-Mobile US, Inc.",Communication Services,USD,NMS,222.5131,VendorB
US9A7E9MF2J1,CVX,Chevron Corporation,Energy,USD,NYQ,144.2785,VendorB
USBS22OF7RPJ,MRK,"Merck & Co., Inc.",Healthcare,USD,NYQ,99.0305,VendorB
USJ73Z0H1P97,WFC,Wells Fargo & Company,Financial Services,USD,NYQ,71.0434,VendorB
USA4WBCBU1WX,CSCO,"Cisco Systems, Inc.",Technology,USD,NMS,59.1052,VendorB
USBE9UPHSKHQ,ACN,Accenture plc,Technology,USD,NYQ,370.0337,VendorB
USQT20P6FAVQ,NOW,"ServiceNow, Inc.",Technology,USD,NYQ,1102.1625,VendorB
USOT54LLYRFN,AXP,American Express Company,Financial Services,USD,NYQ,301.63649999999996,VendorB
USW7VS1UNCI2,MCD,McDonald's Corporation,Consumer Cyclical,USD,NYQ,295.6068,VendorB
USSO5HGA9537,PEP,"PepsiCo, Inc.",Consumer Defensive,USD,NMS,154.31789999999998,VendorB
US6GZJ4MBL9I,BX,Blackstone Inc.,Financial Services,USD,NYQ,172.54840000000002,VendorB
USOD56V8ZLWU,IBM,International Business Machines Corporation,Technology,USD,NYQ,225.5936,VendorB
USU9IWIBWFZK,DIS,The Walt Disney Company,Communication Services,USD,NYQ,113.1503,VendorB
USZC06A2XR0K,LIN,Linde plc,Basic Materials,USD,NMS,428.55310000000003,VendorB
USWPIT26YHV1,TMO,Thermo Fisher Scientific Inc.,Healthcare,USD,NYQ,529.2905,VendorB
US9IGGTP4338,MS,Morgan Stanley,Financial Services,USD,NYQ,124.6744,VendorB
USISYIJU5HO6,ABT,Abbott Laboratories,Healthcare,USD,NYQ,115.37230000000001,VendorB
USRZYDTRL4GM,ADBE,Adobe Inc.,Technology,USD,NMS,451.6417,VendorB
USWVYZ28BBQZ,AMD,"Advanced Micro Devices, Inc.",Technology,USD,NMS,120.40209999999999,VendorB
USAI5SNNQCN9,PM,Philip Morris International Inc.,Consumer Defensive,USD,NYQ,125.4622,VendorB
USRIGQXX8GNM,ISRG,"Intuitive Surgical, Inc.",Healthcare,USD,NMS,529.6742999999999,VendorB
USCHF7LMF91H,PLTR,Palantir Technologies Inc.,Technology,USD,NMS,81.35549999999999,VendorB
USVJIC7UILX3,GE,GE Aerospace,Industrials,USD,NYQ,170.0537,VendorB
USKTMQ9IO3RV,INTU,Intuit Inc.,Technology,USD,NMS,649.8239,VendorB
USKID18NK7UD,GS,"The Goldman Sachs Group, Inc.",Financial Services,USD,NYQ,571.7610000000001,VendorB
USOMDJJXXSHN,CAT,Caterpillar Inc.,Industrials,USD,NYQ,369.7004,VendorB
USDCVZL7Y79A,TXN,Texas Instruments Incorporated,Technology,USD,NMS,188.7387,VendorB
